ID;SKU;Permalink;_cost;_reference;_sref1;_sref2;"Regular Price";"Tax Class";Title
5927;PAPOLG001-adulte-860-x-700-h-700-ivoire-b715;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=ivoire-b715;181,25965;PAPOLGA;B715;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Ivoire B715"
5928;PAPOLG001-adulte-860-x-700-h-700-jaune-moutarde-j713;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=jaune-moutarde-j713;181,25965;PAPOLGA;J713;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Jaune Moutarde J713"
5929;PAPOLG001-adulte-860-x-700-h-700-noir;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=noir;181,25965;PAPOLGA;NOIR;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Noir"
5930;PAPOLG001-adulte-860-x-700-h-700-orange-or548;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=orange-or548;181,25965;PAPOLGA;OR548;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Orange OR548"
5931;PAPOLG001-adulte-860-x-700-h-700-rouge-r701;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=rouge-r701;181,25965;PAPOLGA;R701;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Rouge R701"
5932;PAPOLG001-adulte-860-x-700-h-700-taupe-g1519;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=taupe-g1519;181,25965;PAPOLGA;G1519;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Taupe G1519"
5934;PAPOLG001-adulte-860-x-700-h-700-terre-cuite-vieillie;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=terre-cuite-vieillie;181,25965;PAPOLGA;TCV;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Terre cuite vieillie TCV"
5935;PAPOLG001-adulte-860-x-700-h-700-vert-anis-v1318;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=vert-anis-v1318;181,25965;PAPOLGA;V1318;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Vert anis V1318"
5936;PAPOLG001-adulte-860-x-700-h-700-vert-olive-v712;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=vert-olive-v712;181,25965;PAPOLGA;V712;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Vert olive G712"
5938;PAPOLG001-adulte-860-x-700-h-700-vert-sapin-v414;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=vert-sapin-v414;181,25965;PAPOLGA;V414;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Vert sapin V414"
5944;PAPOLGENFANT-enfant-560-x-480-h-490-aubergine-vl714;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=aubergine-vl714;91,2197;PAPENFANT;VL714;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Aubergine VL714"
5947;PAPOLGENFANT-enfant-560-x-480-h-490-bleu-azur-bl314;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=bleu-azur-bl314;91,2197;PAPENFANT;BL314;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Bleu azur BL314"
5950;PAPOLGENFANT-enfant-560-x-480-h-490-bleu-canard-bl1984;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=bleu-canard-bl1984;91,2197;PAPENFANT;BL1984;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Bleu canard BL1984"
